rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_range,train/loss,train/learning_rate,train/explained_variance,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
350.56,49152,11.477600000000002,225,217,24,0.020527236,-1.8706944461911916,-0.023594356016837993,2.4713286553509533,230,0.2,0.964537501335144,0.0003,0.31305915117263794,0.211181640625,,
,50000,,,,,0.019453753,-1.8536253225058317,-0.02055956617987249,3.470383496209979,240,0.2,0.9636225700378418,0.0003,0.14293724298477173,0.186083984375,41.898,595.0
348.36,51200,11.455599999999999,216,236,25,,,,,,,,,,,,
352.71,53248,11.799,217,245,26,0.020170517,-1.8417342592030763,-0.019554574132780545,3.743855611793697,250,0.2,1.212114691734314,0.0003,0.23774027824401855,0.20390625,,
352.76,55296,11.999299999999996,218,253,27,0.018490763,-1.8095953591167926,-0.019773756558424792,3.2943435612134637,260,0.2,0.5998072028160095,0.0003,-0.04629671573638916,0.205810546875,,
351.49,57344,11.4871,219,261,28,0.019589642,-1.8551073838025331,-0.017349846397701187,2.4422111939638853,270,0.2,1.0413224697113037,0.0003,0.23096340894699097,0.20166015625,,
355.99,59392,12.031600000000001,220,269,29,0.016578713,-1.7901383455842734,-0.01497014084015973,2.753916230984032,280,0.2,0.8549744486808777,0.0003,0.1871291995048523,0.1935546875,,
,60000,,,,,0.019300496,-1.7478028789162636,-0.016378453241486568,2.9384452058002353,290,0.2,0.42370444536209106,0.0003,0.06432545185089111,0.20751953125,4.933999999999999,295.6
348.5,61440,11.2574,217,281,30,,,,,,,,,,,,
343.11,63488,10.604100000000003,218,290,31,0.017669538,-1.7774113968014718,-0.016281562246149406,3.159118044935167,300,0.2,0.8194836378097534,0.0003,0.1943550705909729,0.1748046875,,
341.43,65536,10.587500000000002,219,299,32,0.020547785,-1.7325782146304847,-0.02044397708668839,2.6371660703793167,310,0.2,0.43854936957359314,0.0003,0.023243069648742676,0.1994140625,,
346.91,67584,11.0419,219,308,33,0.023237772,-1.744435689598322,-0.02000679244811181,2.6602719705551863,320,0.2,0.3872389793395996,0.0003,-0.13591241836547852,0.25439453125,,
336.13,69632,9.7353,220,316,34,0.023177238,-1.6935782000422477,-0.018826559104491027,2.504988892283291,330,0.2,0.23557569086551666,0.0003,0.03521108627319336,0.202978515625,,
,70000,,,,,0.01981,-1.5412303123623132,-0.021796588963479736,2.6728440549224617,340,0.2,0.4167839288711548,0.0003,0.282146692276001,0.185009765625,-1.6319999999999997,238.4
328.85,71680,8.963200000000002,216,330,35,,,,,,,,,,,,
335.07,73728,9.7247,216,340,36,0.021545215,-1.6882785759866237,-0.015741298072680366,2.838817621115595,350,0.2,0.917587399482727,0.0003,-0.3150501251220703,0.18369140625,,
332.49,75776,10.298499999999999,217,348,37,0.01777187,-1.6896931864321232,-0.017998750030528754,2.36753446534276,360,0.2,0.46714431047439575,0.0003,0.12275683879852295,0.19755859375,,
336.93,77824,11.142100000000003,217,357,38,0.023727447,-1.6901553314179183,-0.022813055635197088,2.924207057245076,370,0.2,0.7186160087585449,0.0003,0.08312034606933594,0.196435546875,,
345.46,79872,11.9269,218,366,39,0.016240012,-1.5934662982821464,-0.017018867036676967,3.3310822883620856,380,0.2,0.5736054182052612,0.0003,0.30822843313217163,0.169287109375,,
,80000,,,,,0.021601561,-1.561389858648181,-0.01976870322978357,2.610821798723191,390,0.2,0.2178027629852295,0.0003,0.3052195906639099,0.174365234375,5.066,308.4
355.3,81920,12.8245,214,381,40,,,,,,,,,,,,
354.25,83968,12.614399999999998,215,389,41,0.01857199,-1.6578180756419898,-0.022424748225603253,1.976221934799105,400,0.2,0.15764538943767548,0.0003,0.3387379050254822,0.20947265625,,
351.6,86016,12.088400000000002,215,399,42,0.017733492,-1.521660128608346,-0.019098858049255797,3.7291697557084262,410,0.2,0.5697968006134033,0.0003,0.036308884620666504,0.208056640625,,
