time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/value_loss,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
198,53248,26,0.46550000000000014,268,268.29,3.19999082647264,0.2,0.10001075267791748,250,-0.007169117894954979,0.7131526470184326,0.14658203125,-1.8278183706104756,0.0003,0.013198084,,
206,55296,27,0.46490000000000004,268,268.25,4.763540649041533,0.2,0.13368010520935059,260,-0.006543737259926274,1.1429623365402222,0.198388671875,-1.7671154487878085,0.0003,0.017523171,,
213,57344,28,1.7481,268,276.65,3.2442569243721664,0.2,0.377863347530365,270,-0.004345656889199745,0.6134963631629944,0.161181640625,-1.7507589340209961,0.0003,0.012530739,,
221,59392,29,2.3595000000000006,268,277.83,3.840373448655009,0.2,0.3214583992958069,280,-0.009177093363541644,0.9816744923591614,0.12822265625,-1.7169636007398368,0.0003,0.013378073,,
,60000,,,,,2.334681408200413,0.2,0.46893346309661865,290,-0.007240804142202251,0.4202191233634949,0.148974609375,-1.7185101676732302,0.0003,0.01344057,9.434000000000001,346.0
233,61440,30,2.803100000000001,263,282.23,,,,,,,,,,,,
241,63488,31,1.9973000000000005,263,281.57,4.653113717585802,0.2,0.06416696310043335,300,-0.005572999938158319,1.5788507461547852,0.131884765625,-1.6515948381274939,0.0003,0.011445988,,
248,65536,32,1.7946,263,281.28,2.4965660898946225,0.2,0.23152291774749756,310,-0.01293740454420913,0.5848768353462219,0.192578125,-1.9196603249758482,0.0003,0.055757307,,
256,67584,33,1.5406,263,275.84,2.4832556150853633,0.2,0.4827647805213928,320,-0.006459510617423803,1.2156853675842285,0.157421875,-1.899764895439148,0.0003,0.0143372845,,
264,69632,34,1.5347,263,275.25,2.5021546939387918,0.2,0.325666606426239,330,-0.011209613808023277,0.8456107974052429,0.178369140625,-1.9098268002271652,0.0003,0.016069286,,
,70000,,,,,2.302854917291552,0.2,0.4412599802017212,340,-0.0032442045616335236,0.8292961716651917,0.112353515625,-1.8806621804833412,0.0003,0.012007411,0.35399999999999954,237.2
274,71680,35,2.4332,260,285.16,,,,,,,,,,,,
282,73728,36,2.6800000000000006,260,289.86,3.5289243321865795,0.2,0.018135786056518555,350,-0.014207734931551386,1.2427729368209839,0.181640625,-1.805191146209836,0.0003,0.015314005,,
290,75776,37,2.9075,260,292.63,2.1677786509506403,0.2,0.35910969972610474,360,-0.009412763951695524,0.9831236600875854,0.13271484375,-1.8376960404217244,0.0003,0.014849398,,
