time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/n_updates,train/explained_variance,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
703,276,8.6,187.0,95,194560,940,0.9999501705169678,0.0012052417991981201,0.2,-0.0007371187850367278,0.0012091856,0.020556640625,0.0021745997946709394,0.0003,-0.15257578589953483,,
704,279,8.6,187.0,96,196608,950,0.9999504089355469,0.001191711368119286,0.2,-2.3277966829482465e-05,0.0004127947,0.01259765625,-0.0022770261857658625,0.0003,-0.1516470917267725,,
704,281,8.6,187.0,97,198656,960,0.9999510645866394,0.0011826564760212932,0.2,-0.0002638947131345049,0.003732808,0.031494140625,-0.004508867394179106,0.0003,-0.19077823888510465,,
,,,,,200000,970,0.9999535083770752,0.0011084057134212344,0.2,-0.0004052145755849779,0.001637739,0.01435546875,-0.0006210426799952984,0.0003,-0.15215518076438456,8.6,187.0
704,284,8.6,187.0,98,200704,,,,,,,,,,,,
705,287,8.6,187.0,99,202752,980,0.9999561905860901,0.0010279138017494915,0.2,0.0003729632429894991,0.0006792443,0.012646484375,-0.003512653987854719,0.0003,-0.17071899459697307,,
705,290,8.6,187.0,100,204800,990,0.9999536275863647,0.0011034359317591224,0.2,-0.0004948232439346611,0.0013710709,0.0177734375,-0.00028134474996477365,0.0003,-0.16837047543376685,,
706,292,8.6,187.0,101,206848,1000,0.9999505877494812,0.0011358677232237823,0.2,6.74332186463289e-05,0.0013872356,0.011083984375,-0.007687389850616455,0.0003,-0.18544842149131,,
706,295,8.6,187.0,102,208896,1010,0.999954342842102,0.001076179743040484,0.2,0.00025887171796057373,0.0045467913,0.02685546875,0.006458689924329519,0.0003,-0.17747207442298532,,
,,,,,210000,1020,0.9999563097953796,0.0010434741887138444,0.2,0.00017699174059089274,0.0016969962,0.018115234375,-0.0006161817582324147,0.0003,-0.19040411044843494,8.6,187.0
706,298,8.6,187.0,103,210944,,,,,,,,,,,,
706,301,8.6,187.0,104,212992,1030,0.9999561309814453,0.0010563235203562727,0.2,0.00020359806803753598,0.0006679485,0.025244140625,-0.011583520099520683,0.0003,-0.17779900510795416,,
707,303,8.6,187.0,105,215040,1040,0.9999573826789856,0.001053421689584866,0.2,-0.00041242389124818146,0.0026991088,0.01962890625,0.0016625120770186186,0.0003,-0.1876800768543035,,
708,306,8.6,187.0,106,217088,1050,0.9999589323997498,0.0009584289788563183,0.2,0.0008004371185961646,0.0029014824,0.021337890625,-0.0025733294896781445,0.0003,-0.20213235658593476,,
708,309,8.6,187.0,107,219136,1060,0.9999596476554871,0.000991806040656229,0.2,0.00018617578753037377,0.002503776,0.02177734375,-0.0028966981917619705,0.0003,-0.19965255316346883,,
,,,,,220000,1070,0.9999609589576721,0.0009325522458311752,0.2,-4.2058077815454455e-05,0.0021580183,0.01689453125,-0.0015487241325899959,0.0003,-0.1739960162434727,8.6,187.0
708,312,8.594999999999999,186.95,108,221184,,,,,,,,,,,,
708,315,8.594999999999999,186.95,109,223232,1080,0.9997838139533997,0.004942015012602496,0.2,0.0011190769975655713,0.000510376,0.010693359375,-0.0014855577610433102,0.0003,-0.18966197718400507,,
708,317,8.594999999999999,186.95,110,225280,1090,0.9999487400054932,0.0010070760401504231,0.2,-0.002108704722195398,0.0013702465,0.02041015625,-0.000481237075291574,0.0003,-0.1420882607344538,,
709,320,8.593,186.93,111,227328,1100,0.9999570846557617,0.000944897430713354,0.2,-0.0009268014109693468,0.0010130964,0.016796875,-0.0006766666192561388,0.0003,-0.14856244772672653,,
709,323,8.593,186.93,112,229376,1110,0.9999343752861023,0.0014949420912216739,0.2,-0.001125433880952187,0.0021658444,0.0212890625,-0.0008771488210186362,0.0003,-0.14361913104075938,,
,,,,,230000,1120,0.9999584555625916,0.0008858285094902385,0.2,-0.002031460346188396,0.00398657,0.046240234375,0.01818155311048031,0.0003,-0.196568729612045,8.6,187.0
707,327,8.593,186.93,113,231424,,,,,,,,,,,,
706,330,8.593,186.93,114,233472,1130,0.9999628663063049,0.000870739727020009,0.2,-0.000290434411726892,0.0009479397,0.013720703125,-0.0009061493910849094,0.0003,-0.15820140421856194,,
705,333,8.593,186.93,115,235520,1140,0.9999658465385437,0.0007920024007034953,0.2,-0.00012638738699024543,0.0003407282,0.00927734375,-0.00281847408041358,0.0003,-0.16240144700277598,,
705,336,8.591,186.91,116,237568,1150,0.9999638795852661,0.0008301146657458958,0.2,-0.0009757201725733467,0.0013446225,0.019580078125,0.002629451686516404,0.0003,-0.1387431152863428,,
704,339,8.595999999999998,186.96,117,239616,1160,0.9999376535415649,0.0014103923176662647,0.2,-0.00044982460094615816,0.0014823738,0.008837890625,-0.0021260560024529696,0.0003,-0.1708690721075982,,
,,,,,240000,1170,0.9999591112136841,0.0008784994727648154,0.2,-0.0009460120520088822,0.0019477078,0.01611328125,0.013780751265585423,0.0003,-0.16024705243762583,8.6,187.0
703,343,8.595999999999998,186.96,118,241664,,,,,,,,,,,,
703,346,8.595999999999998,186.96,119,243712,1180,0.9999657273292542,0.000794940647074327,0.2,9.461632289458066e-05,0.0011817715,0.01875,-0.0009801919804885983,0.0003,-0.1540990169160068,,
702,349,8.597999999999999,186.98,120,245760,1190,0.9999675154685974,0.0007645922776873704,0.2,6.829886260675266e-05,0.002064732,0.013623046875,-0.01876750774681568,0.0003,-0.15492200935259462,,
702,352,8.597999999999999,186.98,121,247808,1200,0.9999699592590332,0.0006969108163502824,0.2,0.0005716155050322413,0.00037993304,0.011669921875,-0.0015936946729198098,0.0003,-0.14601774320472033,,
701,356,8.597999999999999,186.98,122,249856,1210,0.9999696016311646,0.0007763622291122374,0.2,-3.842575824819505e-06,0.0022020373,0.017822265625,-0.004763887729495764,0.0003,-0.1846210688818246,,
,,,,,250000,1220,0.9999711513519287,0.0006956622088182485,0.2,-0.0002177131289499812,0.001121774,0.014404296875,-0.005625570192933083,0.0003,-0.1716782320290804,8.6,187.0
700,359,8.597999999999999,186.98,123,251904,,,,,,,,,,,,
700,362,8.597999999999999,186.98,124,253952,1230,0.999972403049469,0.0006795193460675363,0.2,-0.00038863481022417546,0.0013968227,0.019970703125,-0.0011640152661129832,0.0003,-0.15270194609183818,,
699,365,8.6,187.0,125,256000,1240,0.9999720454216003,0.000685601300642702,0.2,-1.4681258471682668e-05,0.0010669887,0.01474609375,-0.0019328901544213295,0.0003,-0.16518442183732987,,
699,369,8.6,187.0,126,258048,1250,0.9999699592590332,0.0007162118283986274,0.2,-0.0006443789985496551,0.0027714923,0.0310546875,-0.0033455605152994394,0.0003,-0.17623914196155965,,
,,,,,260000,1260,0.9999726414680481,0.000639760156354896,0.2,0.00020225171319907532,0.0056574075,0.03212890625,-0.0025530746206641197,0.0003,-0.21330039063468575,8.6,187.0
698,372,8.588,186.88,127,260096,,,,,,,,,,,,
697,375,8.584999999999999,186.85,128,262144,1270,0.9993565082550049,0.012391126057627844,0.2,0.00031848072831053287,0.0005443037,0.009521484375,0.00020706921350210905,0.0003,-0.16805162078235297,,
697,379,8.584999999999999,186.85,129,264192,1280,0.9998779892921448,0.0024115772184813977,0.2,-0.0016768336281529628,0.0019127914,0.02109375,0.006938817445188761,0.0003,-0.1334610474994406,,
696,382,8.568999999999997,186.69,130,266240,1290,0.999954879283905,0.000829593797425332,0.2,-0.0003913485968951136,0.0011339628,0.016748046875,-0.008847273886203766,0.0003,-0.14931433422025292,,
696,385,8.568999999999999,186.69,131,268288,1300,0.9987859725952148,0.022507726554613326,0.2,-0.0006567421805812046,0.0029030524,0.01923828125,0.0008684017229825258,0.0003,-0.16067268094047904,,
,,,,,270000,1310,0.9998965859413147,0.001550614846200915,0.2,-0.002634124190080911,0.0014669681,0.019775390625,0.0013822846813127398,0.0003,-0.12459291736595332,8.6,187.0
695,388,8.568999999999999,186.69,132,270336,,,,,,,,,,,,
695,391,8.567,186.67,133,272384,1320,0.9999530911445618,0.0008502374122144829,0.2,-0.00040350875788135453,0.0006119066,0.016845703125,0.0013556366320699453,0.0003,-0.15019780909642577,,
695,394,8.567,186.67,134,274432,1330,0.9999461770057678,0.0011963980848122447,0.2,-0.0003617296053562313,0.0012686801,0.0119140625,-0.0014345694798976183,0.0003,-0.18134648380801083,,
694,397,8.567,186.67,135,276480,1340,0.9999675154685974,0.000669671979812847,0.2,0.001207660383079201,0.00422317,0.02529296875,0.008150904439389706,0.0003,-0.16507830177433788,,
694,401,8.578999999999999,186.79,136,278528,1350,0.9999718070030212,0.0006001712645684165,0.2,0.001076035510050133,0.0031821479,0.02353515625,-0.0001815499854274094,0.0003,-0.21097012208774685,,
