time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/loss,train/learning_rate,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
139264,305.76769999999993,240,579,1182.65,68,0.0533203125,0.007337873,-0.0036840802466031166,-0.3782116760499775,17.92632293701172,0.0003,0.4571106433868408,0.2,22.49717335999012,670,,
140000,,,,,,0.0662109375,0.0055493386,-0.0013594345626188442,-0.32767508933320644,5.2574357986450195,0.0003,0.4337596893310547,0.2,19.84256243109703,680,311.464,1622.8
141312,311.87889999999993,247,571,1197.26,69,,,,,,,,,,,,
143360,318.7766,250,573,1214.32,70,0.077978515625,0.0064090975,-0.0018816085954313166,-0.34152142973616717,6.5482563972473145,0.0003,0.3470691442489624,0.2,20.086622655391693,690,,
145408,329.18089999999995,252,575,1237.91,71,0.069580078125,0.007659833,-0.003241790998436045,-0.32189635406248274,7.218018054962158,0.0003,0.46277397871017456,0.2,18.99395233094692,700,,
147456,336.0880999999999,255,577,1253.16,72,0.052294921875,0.003560847,-0.0008934674668125808,-0.3177892485633492,16.74034881591797,0.0003,0.45080697536468506,0.2,28.51511234343052,710,,
149504,338.37839999999994,258,578,1258.62,73,0.07080078125,0.0048790346,-0.00024926381884142755,-0.34820705400779844,19.072256088256836,0.0003,0.35818004608154297,0.2,25.768285989761353,720,,
150000,,,,,,0.087158203125,0.011043277,0.0005736973485909403,-0.357063204748556,7.25712251663208,0.0003,0.27768611907958984,0.2,25.451284351944924,730,160.44599999999997,1401.2
151552,349.94039999999995,264,572,1278.09,74,,,,,,,,,,,,
153600,355.545,267,574,1292.27,75,0.05615234375,0.0049501737,-0.001476289436686784,-0.36155168623663486,21.42355728149414,0.0003,0.32056015729904175,0.2,30.745592918992042,740,,
155648,362.1002,270,576,1311.57,76,0.0521484375,0.0035138559,0.00048104828747455033,-0.38839442022144793,5.8704328536987305,0.0003,0.36954373121261597,0.2,23.937076899409295,750,,
157696,372.2118,272,577,1333.3,77,0.065478515625,0.0044537587,-0.0006694042123854161,-0.32819301122799516,10.983515739440918,0.0003,0.43476295471191406,0.2,28.33003812432289,760,,
159744,373.92929999999996,275,579,1334.62,78,0.0591796875,0.0061660693,0.00022504709922941402,-0.2787020660471171,10.323807716369629,0.0003,0.4213528037071228,0.2,28.319401046633722,770,,
160000,,,,,,0.056103515625,0.006323048,-0.0005710630211979151,-0.34645463335327803,8.27232551574707,0.0003,0.3885788321495056,0.2,26.86499641239643,780,441.76599999999996,1994.8
161792,385.63369999999986,283,569,1364.55,79,,,,,,,,,,,,
163840,393.0715999999999,286,571,1376.44,80,0.051220703125,0.0056288657,-0.003676268470007926,-0.37110934518277644,15.782618522644043,0.0003,0.40393877029418945,0.2,27.478186056017876,790,,
165888,398.9991999999999,289,573,1387.91,81,0.051123046875,0.003986414,-0.0011982936965068802,-0.31583933662623165,10.990827560424805,0.0003,0.4474966526031494,0.2,28.53554173707962,800,,
167936,409.7745999999999,292,574,1413.09,82,0.06298828125,0.008991413,-0.0018679717846680432,-0.3447188726626337,13.341473579406738,0.0003,0.3977687954902649,0.2,27.431474006175996,810,,
169984,412.29699999999997,294,576,1416.3,83,0.07939453125,0.009587101,-0.005982787496759556,-0.35115200076252223,9.919449806213379,0.0003,0.37170106172561646,0.2,30.235126081109048,820,,
170000,,,,,,0.0798828125,0.0052272803,0.00012528839870356022,-0.3316784210968763,6.642240047454834,0.0003,0.43501371145248413,0.2,17.960081624984742,830,394.942,1068.6
172032,419.4352999999999,300,572,1429.32,84,,,,,,,,,,,,
174080,426.01849999999996,303,573,1449.02,85,0.05546875,0.006345234,-0.0009462607820751145,-0.305511285411194,8.585250854492188,0.0003,0.40548962354660034,0.2,28.67732595205307,840,,
176128,432.89369999999997,306,575,1460.06,86,0.065966796875,0.0096691325,-0.0015750701189972461,-0.34639916783198715,9.563575744628906,0.0003,0.5693485736846924,0.2,17.94775209724903,850,,
178176,438.2407,308,576,1467.25,87,0.069970703125,0.007888697,-0.0016806019251816907,-0.3021706184837967,10.809377670288086,0.0003,0.46504491567611694,0.2,19.620748057961464,860,,
180000,,,,,,0.033447265625,0.003975585,0.00142091078159865,-0.28818166106939314,9.469616889953613,0.0003,0.5243613719940186,0.2,19.787511068582536,870,234.67399999999998,927.6
180224,450.82859999999994,314,573,1498.1,88,,,,,,,,,,,,
182272,456.8718,316,575,1509.62,89,0.05224609375,0.005450798,-0.0022423881106078624,-0.2633114407304674,10.202862739562988,0.0003,0.7026799917221069,0.2,22.182025453448297,880,,
184320,463.43029999999993,319,576,1519.48,90,0.050927734375,0.009416265,-0.0016854861401952802,-0.24956030026078224,10.574116706848145,0.0003,0.5053236484527588,0.2,24.105520206689835,890,,
186368,465.8664,322,578,1519.41,91,0.059228515625,0.006533907,-0.003299437533132732,-0.2556003292556852,10.572606086730957,0.0003,0.33970195055007935,0.2,32.4579959154129,900,,
188416,472.5961,325,579,1531.93,92,0.0529296875,0.0067575364,-0.002333989043836482,-0.21786762261763215,13.784743309020996,0.0003,0.2952491044998169,0.2,27.789303386211394,910,,
190000,,,,,,0.068115234375,0.0037527997,0.003132622591510881,-0.20964896609075367,11.264156341552734,0.0003,0.45606809854507446,0.2,16.99318398684263,920,174.91400000000002,887.4
190464,482.34899999999993,330,577,1553.63,93,,,,,,,,,,,,
192512,488.6533999999999,332,578,1569.58,94,0.04853515625,0.005287597,-1.565236016176641e-06,-0.2168649924453348,8.540778160095215,0.0003,0.40635061264038086,0.2,23.586083388328554,930,,
194560,496.76379999999995,335,579,1578.62,95,0.041357421875,0.0026518805,0.0009146405267529189,-0.1720702219288796,4.196506977081299,0.0003,0.5188581347465515,0.2,16.966477017104626,940,,
196608,502.28790000000004,338,580,1590.34,96,0.0533203125,0.0042179273,-0.00034480277972761544,-0.182243573339656,9.246990203857422,0.0003,0.4738413095474243,0.2,24.140100997686385,950,,
198656,506.0869,341,581,1589.65,97,0.039453125,0.004058785,-0.0025609612101106906,-0.18574991733767093,9.123510360717773,0.0003,0.43627995252609253,0.2,20.15704108774662,960,,
200000,,,,,,0.03525390625,0.004860425,-0.00018907413177657873,-0.17079390543513,7.972223281860352,0.0003,0.4568977952003479,0.2,19.406275287270546,970,445.11400000000003,1393.4
200704,510.4334999999999,348,575,1595.82,98,,,,,,,,,,,,
202752,512.7207,351,576,1593.92,99,0.06025390625,0.0071178395,-0.0012114898854633793,-0.22028568796813489,8.45630931854248,0.0003,0.40033239126205444,0.2,27.078562894463538,980,,
204800,524.344,354,578,1619.09,100,0.0390625,0.006654232,-0.0006894541234942153,-0.17099229956511408,6.414618015289307,0.0003,0.5059124231338501,0.2,18.463483929634094,990,,
