rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_range,train/n_updates,train/learning_rate,train/explained_variance,train/clip_fraction,train/entropy_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
137.90699999999998,1064960,1866,570,520,566.54,33.72668515145779,-0.010153145715594291,13.803993225097656,0.2,5190,0.0003,0.25037944316864014,0.08681640625,-0.6892514193430543,0.007433788,,
133.39620000000002,1067008,1869,570,521,556.61,36.24800815284252,-0.009162641706643626,13.583646774291992,0.2,5200,0.0003,0.24069446325302124,0.070166015625,-0.6949917528778314,0.007990586,,
136.0776,1069056,1872,570,522,567.83,18.740048193931578,-0.0049943941252422516,6.50786828994751,0.2,5210,0.0003,0.3042721152305603,0.05986328125,-0.6923356514424086,0.008903649,,
,1070000,,,,,27.029492476582526,-0.004572954226750881,13.894769668579102,0.2,5220,0.0003,0.34946495294570923,0.05498046875,-0.687317275069654,0.0032338002,1307.4,510.96400000000006
139.5266,1071104,1878,570,523,575.74,,,,,,,,,,,,
142.0902,1073152,1881,570,524,582.83,33.57353141307831,-0.008962049841647968,17.824203491210938,0.2,5230,0.0003,0.3497087359428406,0.083544921875,-0.6830263312906026,0.006943167,,
144.9554,1075200,1884,570,525,594.88,27.289543157815935,-0.005804089635785203,19.801265716552734,0.2,5240,0.0003,0.3115488886833191,0.072412109375,-0.6771479682996869,0.006861079,,
144.9604,1077248,1887,570,526,589.62,29.131718370318413,-0.008380414612474851,10.146634101867676,0.2,5250,0.0003,0.358436644077301,0.06689453125,-0.6314250824041665,0.009306887,,
148.4954,1079296,1890,571,527,603.25,27.19983965754509,-0.010196544507925865,17.150833129882812,0.2,5260,0.0003,0.2747271656990051,0.10087890625,-0.7166427487507463,0.012637284,,
,1080000,,,,,14.85991770029068,-0.005550802126526833,9.394318580627441,0.2,5270,0.0003,0.3163067102432251,0.07734375,-0.6707070488482714,0.005070446,4266.2,251.388
148.78099999999998,1081344,1904,567,528,604.0,,,,,,,,,,,,
