time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
570000,,,,,,2780,0.129150390625,0.6534126996994019,-0.4061814577318728,4.399642758112776e-07,0.2,0.0003,-0.0009887550259009004,-0.001046871449216269,0.008209648,-16.060000000000002,61.6
571392,815,701,-15.276999999999996,53.77,279,,,,,,,,,,,,
573440,817,701,-15.303999999999998,54.04,280,2790,0.041015625,0.4589323401451111,-0.39999339953064916,1.8836649688935837e-07,0.2,0.0003,-0.01353227999061346,-0.0012159541278379039,0.005414181,,
575488,820,701,-15.384999999999998,54.85,281,2800,0.13525390625,0.5074073076248169,-0.41509950598701834,1.0570226229411617e-06,0.2,0.0003,-0.01648334041237831,-0.005111840505560394,0.011484517,,
577536,823,701,-15.468999999999996,55.69,282,2810,0.082861328125,-0.18021011352539062,-0.44234378784894945,4.2634741577174394e-07,0.2,0.0003,-0.013228921219706535,-0.001331795725855045,0.0071594305,,
579584,826,700,-15.618999999999998,57.19,283,2820,0.039111328125,0.02953922748565674,-0.45222670435905454,1.6472806261269568e-07,0.2,0.0003,-0.008103041909635067,-0.0001064061390934512,0.0037908163,,
580000,,,,,,2830,0.020361328125,0.03351700305938721,-0.43481201147660614,5.895053023508012e-07,0.2,0.0003,-0.0033545279875397682,-0.0009968978789402171,0.0035667298,-16.64,67.4
581632,829,700,-15.686999999999998,57.87,284,,,,,,,,,,,,
583680,832,700,-15.668000000000001,57.68,285,2840,0.027978515625,-0.9231923818588257,-0.44254785077646375,1.1558523276278265e-07,0.2,0.0003,-0.0038606771267950535,-0.0005092822655569762,0.002673659,,
585728,835,700,-15.777000000000001,58.77,286,2850,0.011376953125,-0.4515033960342407,-0.43492001555860044,7.489920577974374e-07,0.2,0.0003,-4.6595250751124695e-05,-0.0008904086309485138,0.0015448194,,
587776,838,700,-15.793,58.93,287,2860,0.06728515625,-0.7520102262496948,-0.4500816723331809,1.0955129180700852e-06,0.2,0.0003,-0.006684308405965567,-0.0033143511682283133,0.0058367997,,
589824,841,700,-15.793,58.93,288,2870,0.009619140625,0.6873385310173035,-0.45053145503625275,4.666691554078284e-07,0.2,0.0003,-0.004457739181816578,-0.000256450918095652,0.00172945,,
590000,,,,,,2880,0.12568359375,-0.06519675254821777,-0.42265046052634714,4.960212800497743e-08,0.2,0.0003,-0.0013111321022734046,-0.002372596930945292,0.015178454,-16.04,61.4
591872,844,700,-15.740999999999996,58.41,289,,,,,,,,,,,,
593920,847,701,-15.723999999999998,58.24,290,2890,0.05087890625,-1.0794763565063477,-0.3743140805512667,2.3539565512376015e-06,0.2,0.0003,-0.007600401993840933,-0.0028593403490958734,0.008978691,,
595968,850,701,-15.728,58.28,291,2900,0.010986328125,-4.622773170471191,-0.3590060857124627,1.2906026602976795e-08,0.2,0.0003,0.0018989425152540207,-0.001826337879174389,0.00088257814,,
598016,852,701,-15.694,57.94,292,2910,0.05712890625,-8.7254056930542,-0.3588982089422643,4.6285725785466526e-08,0.2,0.0003,-0.012410868890583515,-0.0011574854084756224,0.005406419,,
600000,,,,,,2920,0.018017578125,-2.1258132457733154,-0.3553076542913914,9.535166833885e-07,0.2,0.0003,-0.00992156658321619,-0.0003101007518125698,0.0036647976,-16.06,61.6
600064,856,700,-15.631000000000002,57.31,293,,,,,,,,,,,,
602112,858,700,-15.552,56.52,294,2930,0.0337890625,-5.4133219718933105,-0.3499174937605858,1.5349621218518906e-08,0.2,0.0003,-0.007844598032534122,-0.002253379870671779,0.0023143685,,
604160,861,700,-15.537,56.37,295,2940,0.01572265625,-4.7793097496032715,-0.3364810926839709,5.579464756877428e-07,0.2,0.0003,-0.006407393142580986,3.930024395231158e-05,0.0022422047,,
