rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/learning_rate,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
,,,60000,,,0.16532117128372192,-0.19525898969732225,0.5758128118352033,-0.00037504802021430804,290,0.8553829193115234,0.036572265625,0.0003,0.2,0.0041970974,-6.0,242.4
192.55,747,82,61440,30,-9.7,,,,,,,,,,,,
192.56,749,84,63488,31,-9.7,0.10831987857818604,-0.18021552101708949,0.116868785378756,-0.0001321820731391199,300,0.9369625449180603,0.042041015625,0.0003,0.2,0.0054658605,,
192.44,750,87,65536,32,-9.7,0.005188481882214546,-0.19223294781986625,0.05898198518989375,-0.0028126132703619076,310,0.9695331454277039,0.0701171875,0.0003,0.2,0.0123705175,,
193.79,750,90,67584,33,-9.6,-0.004645269829779863,-0.15491148817818612,0.0059559760677075245,-0.00031774988165125253,320,0.9948970675468445,0.02763671875,0.0003,0.2,0.006081133,,
193.97,751,92,69632,34,-9.6,0.15876810252666473,-0.17620026399381458,1.1363578472926747,-7.72697472712025e-05,330,0.773451030254364,0.015576171875,0.0003,0.2,0.0015075735,,
,,,70000,,,-0.006486682221293449,-0.2209750913316384,0.041127718656207436,0.007547246108879335,340,0.9834044575691223,0.075732421875,0.0003,0.2,0.054857254,-10.0,193.8
194.49,748,95,71680,35,-9.6,,,,,,,,,,,,
193.96,749,98,73728,36,-9.6,0.0006712945178151131,-0.1498344413237646,0.01068062791673583,0.0012396440346492455,350,0.994798481464386,0.014697265625,0.0003,0.2,0.0007346804,,
192.35,750,101,75776,37,-9.7,0.003029905492439866,-0.2017906949389726,0.007077707404459943,-0.0007555386779131368,360,0.9979294538497925,0.02001953125,0.0003,0.2,0.0040088976,,
190.17,750,103,77824,38,-9.9,-0.006339359097182751,-0.13402737162541598,0.004098007284119376,-0.0011838046120828949,370,0.9984781742095947,0.02197265625,0.0003,0.2,0.0032842157,,
189.43,751,106,79872,39,-9.9,-0.005302383564412594,-0.12261698967777193,0.0019320148286169569,-0.00225390463747317,380,0.9992737770080566,0.0328125,0.0003,0.2,0.0042115133,,
,,,80000,,,-0.0005309603293426335,-0.14906044430099427,0.0014690218130454014,-0.0018054496627883053,390,0.9995296597480774,0.025,0.0003,0.2,0.0022565634,-10.0,136.4
189.08,748,109,81920,40,-9.9,,,,,,,,,,,,
189.01,748,112,83968,41,-9.9,0.003566564992070198,-0.1551736058667302,0.0009651108213802218,-0.0022228604939300567,400,0.999700665473938,0.037255859375,0.0003,0.2,0.0021467248,,
186.21,749,114,86016,42,-10.0,-0.002873409539461136,-0.1444244392449036,0.0032254637472760805,-0.004198962057125754,410,0.999312162399292,0.032568359375,0.0003,0.2,0.0046528857,,
186.05,749,117,88064,43,-10.0,0.021169526502490044,-0.22638526898808778,0.22744624844635836,-0.003857258391508367,420,0.9595296382904053,0.0646484375,0.0003,0.2,0.01028516,,
,,,90000,,,-0.018267832696437836,-0.16296622222289442,0.009207599229921471,-0.00679844751721248,430,0.9974652528762817,0.031103515625,0.0003,0.2,0.010245495,-10.0,190.8
186.21,747,120,90112,44,-10.0,,,,,,,,,,,,
186.18,747,123,92160,45,-10.0,-0.002545944880694151,-0.13940210749860854,0.0055998082531004915,-0.0020848911488428714,440,0.9989161491394043,0.02314453125,0.0003,0.2,0.0015148451,,
187.58,747,125,94208,46,-9.9,-0.007720181718468666,-0.13705131513997912,0.0028826935285906075,-0.0011153035127790644,450,0.9994179606437683,0.0345703125,0.0003,0.2,0.005808903,,
187.86,748,128,96256,47,-9.9,0.7441785931587219,-0.16874755129683763,1.0848046116239858,-0.0006381065875757485,460,0.7890095710754395,0.016552734375,0.0003,0.2,0.0022534574,,
187.87,749,131,98304,48,-9.9,0.022385429590940475,-0.1627156805479899,0.03208650845626835,-0.0018532183079514653,470,0.9919193387031555,0.017431640625,0.0003,0.2,0.0016756975,,
,,,100000,,,0.003655069973319769,-0.14480445225490257,0.013673451809154358,1.6925342788454145e-05,480,0.9932233095169067,0.023779296875,0.0003,0.2,0.0047623357,-10.0,193.0
188.33,747,134,100352,49,-9.8,,,,,,,,,,,,
190.16,747,136,102400,50,-9.6,0.15872468054294586,-0.15789782395586371,0.5288313275581459,0.00037130101773072963,490,0.8820561170578003,0.007421875,0.0003,0.2,0.00050946313,,
193.44,748,139,104448,51,-9.4,0.3242701292037964,-0.21685983857605606,1.0859203673433513,-0.00014616440748795866,500,0.7349418997764587,0.041162109375,0.0003,0.2,0.0077983337,,
193.62,748,142,106496,52,-9.4,0.38007092475891113,-0.22180657554417849,1.1117473385180348,-0.0022309504594886674,510,0.707114577293396,0.049169921875,0.0003,0.2,0.006911833,,
193.57,749,144,108544,53,-9.4,0.060746192932128906,-0.14839989815372973,0.10318504480528645,-0.001672377492650412,520,0.9340752959251404,0.0375,0.0003,0.2,0.013927904,,
,,,110000,,,0.024751925840973854,-0.16489403534214944,0.026199165544676363,-0.0002500010465155356,530,0.988004744052887,0.05693359375,0.0003,0.2,0.025055837,-8.0,97.6
190.48,749,147,110592,54,-9.4,,,,,,,,,,,,
189.21,749,150,112640,55,-9.5,0.083803690969944,-0.24886393193155526,0.4145521804341115,-0.005282430609804578,540,0.9086819291114807,0.04736328125,0.0003,0.2,0.010122705,,
188.93,749,153,114688,56,-9.5,0.0036333787720650434,-0.1868229982908815,0.021578476199647412,-0.0007554598851129413,550,0.9921382665634155,0.019921875,0.0003,0.2,0.0022180155,,
188.92,749,155,116736,57,-9.5,0.005511141382157803,-0.20261617172509433,0.007812837184974341,-0.0011054497488657943,560,0.9967705607414246,0.02138671875,0.0003,0.2,0.0020711538,,
188.64,749,158,118784,58,-9.6,-0.012524979189038277,-0.18329207133501768,0.0036472226802288787,-0.0009762403729837388,570,0.9985164999961853,0.01962890625,0.0003,0.2,0.0015720099,,
,,,120000,,,0.0002734981244429946,-0.18022628198377788,0.004892969504362554,-0.004340571732609533,580,0.9988914132118225,0.0259765625,0.0003,0.2,0.0025560928,-10.0,165.0
187.97,748,161,120832,59,-9.7,,,,,,,,,,,,
185.19,748,164,122880,60,-10.0,0.003641132963821292,-0.17881050696596504,0.003709203239122871,-0.0009296337462728843,590,0.9990723729133606,0.01572265625,0.0003,0.2,0.001346607,,
185.71,748,166,124928,61,-9.9,-0.0033250991255044937,-0.19907150669023393,0.01011771928606322,-0.0014823186618741601,600,0.9978620409965515,0.029150390625,0.0003,0.2,0.0019861478,,
185.81,749,169,126976,62,-9.9,0.10762304067611694,-0.20682475971989334,0.581930984876817,-0.0008070778363617137,610,0.8777304887771606,0.021533203125,0.0003,0.2,0.0019992334,,
187.47,749,172,129024,63,-9.9,0.007220960222184658,-0.19933923897333444,0.02949368446134031,-0.0009870426176348702,620,0.9914517998695374,0.015283203125,0.0003,0.2,0.0013599236,,
,,,130000,,,0.010901020839810371,-0.2403610000386834,0.22472705095715356,-0.004433854125090874,630,0.9509361982345581,0.051611328125,0.0003,0.2,0.011451691,-10.0,191.8
187.66,747,175,131072,64,-9.9,,,,,,,,,,,,
188.17,748,177,133120,65,-9.9,-0.012841172516345978,-0.19168605138547717,0.013035044170101174,-0.0015906836051726714,640,0.9966627955436707,0.021826171875,0.0003,0.2,0.0022417675,,
188.61,748,180,135168,66,-9.9,0.017608150839805603,-0.20179789601825177,0.014254405925021274,0.0011801952103269286,650,0.9972873330116272,0.012939453125,0.0003,0.2,0.0008130329,,
189.07,748,183,137216,67,-9.9,0.006167547311633825,-0.19704248602502047,0.01833009420952294,-0.0026430447032907978,660,0.9967370629310608,0.029150390625,0.0003,0.2,0.0020147702,,
189.31,749,185,139264,68,-9.9,-0.003000647760927677,-0.20136952423490584,0.016775840336049442,-0.001200075977249071,670,0.9969056248664856,0.0349609375,0.0003,0.2,0.0020294692,,
,,,140000,,,-0.002694931346923113,-0.16990260428283363,0.02093996036637691,-7.127127319108694e-05,680,0.9960076808929443,0.007177734375,0.0003,0.2,0.0012232752,-10.0,187.0
189.59,747,189,141312,69,-9.9,,,,,,,,,,,,
189.32,747,191,143360,70,-10.0,0.005306918174028397,-0.18439748240634798,0.016821469253773102,-7.276173855643719e-05,690,0.9968369603157043,0.01640625,0.0003,0.2,0.0013351333,,
189.36,747,194,145408,71,-10.0,-0.0002062283456325531,-0.20448489729315042,0.018766990918084047,-0.0018939735142339486,700,0.9962364435195923,0.02119140625,0.0003,0.2,0.0021398196,,
