time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/clip_fraction,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/approx_kl,train/loss,train/clip_range,train/explained_variance,eval/mean_ep_length,eval/mean_reward
223,4550,313.32,6.8,497,1017856,0.17841796875,1.3512657581362872,-1.0934473890811205,-0.01833479793567676,0.0003,4960,0.018397229,0.07631806284189224,0.2,0.4440860152244568,,
223,4559,308.81,6.3,498,1019904,0.184326171875,1.9168286216445267,-1.1371953904628753,-0.01517078635370126,0.0003,4970,0.019568304,0.19609799981117249,0.2,0.48690640926361084,,
,,,,,1020000,0.203125,1.8744215867482126,-1.1596759214997292,-0.014970127961714753,0.0003,4980,0.02255709,0.06791941076517105,0.2,0.17719221115112305,261.2,-4.0
223,4572,310.62,6.2,499,1021952,,,,,,,,,,,,
223,4581,299.21,5.1,500,1024000,0.169287109375,2.0484762598294766,-1.192490127310157,-0.015371284293360076,0.0003,4990,0.014722389,0.7618134021759033,0.2,0.03289294242858887,,
223,4590,298.37,5.1,501,1026048,0.16337890625,2.145858343876898,-1.2242495115846395,-0.014584884711075575,0.0003,5000,0.0251926,0.17029701173305511,0.2,-0.05089139938354492,,
223,4600,295.09,4.9,502,1028096,0.1572265625,1.8831620312295854,-1.097670416161418,-0.012782033387338743,0.0003,5010,0.015835922,0.3480140268802643,0.2,0.2703758478164673,,
,,,,,1030000,0.212158203125,1.8769870367832482,-1.1688797201961278,-0.01994795701757539,0.0003,5020,0.022828272,0.08686992526054382,0.2,0.1722555160522461,386.0,14.0
223,4615,292.71,4.8,503,1030144,,,,,,,,,,,,
223,4624,283.78,3.6,504,1032192,0.18056640625,2.1088288363069294,-1.1218554366379976,-0.013175872876308859,0.0003,5030,0.018141396,0.1824016273021698,0.2,0.0612025260925293,,
223,4633,292.47,4.1,505,1034240,0.203662109375,1.3314407121855765,-1.2232133150100708,-0.01380058071226813,0.0003,5040,0.026082078,0.16400761902332306,0.2,0.39997392892837524,,
223,4641,285.3,3.1,506,1036288,0.21318359375,1.461539244861342,-1.2135298803448678,-0.012464039985206909,0.0003,5050,0.019114658,0.08140816539525986,0.2,0.3464142680168152,,
223,4651,291.85,3.8,507,1038336,0.171142578125,1.517325212713331,-1.0768189450725913,-0.016458234458696097,0.0003,5060,0.020269934,0.11175747960805893,0.2,0.1773700714111328,,
,,,,,1040000,0.170947265625,2.380601662537083,-1.1331193082034587,-0.014882834945456124,0.0003,5070,0.016688254,0.06668724119663239,0.2,0.08382934331893921,202.4,-6.0
223,4662,288.91,3.7,508,1040384,,,,,,,,,,,,
223,4671,273.66,1.9,509,1042432,0.158740234375,2.217736255703494,-1.0661988511681557,-0.014557271802914329,0.0003,5080,0.021998217,1.7121756076812744,0.2,0.40566790103912354,,
223,4680,267.75,0.8,510,1044480,0.179296875,1.3516969879390672,-1.039773278310895,-0.015702891038381496,0.0003,5090,0.02301756,0.38563597202301025,0.2,0.15860742330551147,,
223,4689,272.56,1.8,511,1046528,0.207666015625,0.8550584265496581,-1.1530615970492364,-0.017462203699687963,0.0003,5100,0.021351218,0.04972071573138237,0.2,0.5963373184204102,,
223,4697,269.43,1.9,512,1048576,0.121044921875,2.9889989238232375,-1.0230820208787919,-0.014129232184495777,0.0003,5110,0.013528254,0.8877108097076416,0.2,-0.12341618537902832,,
,,,,,1050000,0.16474609375,1.6655914807226508,-1.037120209634304,-0.015168278738565277,0.0003,5120,0.031652585,0.08137357234954834,0.2,0.25028491020202637,479.6,22.0
222,4715,267.41,1.5,513,1050624,,,,,,,,,,,,
222,4724,264.84,1.3,514,1052672,0.197509765625,2.0480495213065297,-1.1108200166374445,-0.014940016208856832,0.0003,5130,0.021111801,0.12413841485977173,0.2,-0.1460585594177246,,
222,4732,266.87,1.0,515,1054720,0.16865234375,1.3418543913634493,-1.1802663084119558,-0.014431595028145238,0.0003,5140,0.01911889,0.09370812773704529,0.2,0.35846763849258423,,
222,4741,264.9,0.5,516,1056768,0.166748046875,1.5188577778171748,-1.093153909407556,-0.013065132056362927,0.0003,5150,0.022849105,0.041220180690288544,0.2,0.28663569688796997,,
222,4749,262.66,-0.2,517,1058816,0.223583984375,1.467308694240637,-1.1180458191782237,-0.020694933613413014,0.0003,5160,0.019997187,0.10298028588294983,0.2,0.27013397216796875,,
,,,,,1060000,0.1744140625,0.9530986373429187,-1.056618494912982,-0.01391404494352173,0.0003,5170,0.016732166,0.022584713995456696,0.2,0.29617226123809814,266.8,0.0
222,4762,259.16,0.2,518,1060864,,,,,,,,,,,,
222,4772,265.86,0.9,519,1062912,0.172802734375,2.496994419861585,-1.2740103609859943,-0.014468145769205876,0.0003,5180,0.016672557,0.3674244284629822,0.2,0.0019153952598571777,,
222,4781,264.05,0.7,520,1064960,0.185546875,1.2822991457069293,-1.1245665030553937,-0.016570658641285263,0.0003,5190,0.02391946,0.023280158638954163,0.2,0.32207024097442627,,
222,4789,264.55,1.3,521,1067008,0.216357421875,1.4306017448427155,-1.164067860133946,-0.018828357207530642,0.0003,5200,0.021719117,0.07582047581672668,0.2,0.4142707586288452,,
222,4799,270.36,1.6,522,1069056,0.14580078125,3.4695797390304506,-1.0814794346690177,-0.013060326021513902,0.0003,5210,0.013800949,0.49632561206817627,0.2,-0.28977537155151367,,
,,,,,1070000,0.15908203125,1.6349207104183734,-1.0401759065687657,-0.010750229874975047,0.0003,5220,0.020050175,0.01307748258113861,0.2,0.07556295394897461,248.0,-4.0
222,4812,277.96,2.8,523,1071104,,,,,,,,,,,,
222,4820,269.85,1.7,524,1073152,0.171142578125,1.326246707700193,-1.1006678504869343,-0.009985128088737838,0.0003,5230,0.020470306,0.025970757007598877,0.2,0.4888981580734253,,
222,4830,284.02,2.9,525,1075200,0.16162109375,2.2533999778330327,-1.0240234781056643,-0.013116001180605963,0.0003,5240,0.017993353,0.10301566123962402,0.2,0.2936750054359436,,
222,4839,285.55,3.4,526,1077248,0.188623046875,1.8686456815106793,-1.0918509347364307,-0.01617659157200251,0.0003,5250,0.021434877,0.08460953831672668,0.2,0.2211928367614746,,
