time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
,,,480000,,,0.0003,9.691018346697092,0.2,0.22708231210708618,4.326805591583252,0.0031397813,0.032177734375,2340,-0.002405939807067625,-0.05331084938079585,7797.6,1395.34
794,605,623.41,481280,235,89.36599999999999,,,,,,,,,,,,
797,606,641.04,483328,236,92.21799999999999,0.0003,8.458003943786025,0.2,0.3863980174064636,3.4083244800567627,0.0015691584,0.0185546875,2350,0.0007218143698992207,-0.03815796159724414,,
799,606,644.62,485376,237,92.57600000000001,0.0003,6.605719122290611,0.2,0.5579941272735596,2.6312215328216553,0.004572693,0.01328125,2360,-0.0003917505673598498,-0.044203730700246524,,
802,607,653.17,487424,238,94.124,0.0003,13.84625827819109,0.2,0.07104194164276123,4.093876838684082,0.0024160203,0.035400390625,2370,-0.0034819154927390626,-0.053418016685463955,,
805,607,648.06,489472,239,93.21700000000003,0.0003,8.409661331027745,0.2,0.16551589965820312,7.877559661865234,0.0027264617,0.019873046875,2380,0.0006132250418886542,-0.050044281443115325,,
,,,490000,,,0.0003,4.848833050765097,0.2,0.5090636014938354,1.7902190685272217,0.0018150285,0.039501953125,2390,0.0022240028250962497,-0.05730714934907155,651.2,92.64
809,606,660.56,491520,240,95.55600000000003,,,,,,,,,,,,
812,607,665.3,493568,241,96.42600000000002,0.0003,6.57771682459861,0.2,0.38571059703826904,1.0397584438323975,0.0018426275,0.020947265625,2400,-0.0005539990044781007,-0.051402587081247474,,
815,607,689.66,495616,242,100.84200000000001,0.0003,5.796474406681955,0.2,0.4465307593345642,1.0368269681930542,0.0013287279,0.021923828125,2410,-0.0037042986310552805,-0.05281383270048536,,
818,608,689.94,497664,243,100.87,0.0003,5.982095736265182,0.2,0.34498125314712524,3.6913461685180664,0.00045269262,0.018212890625,2420,0.0005228201422141865,-0.04146048402180895,,
820,608,683.17,499712,244,99.50000000000001,0.0003,5.294644108880311,0.2,0.49416178464889526,1.2348759174346924,0.0004964188,0.021337890625,2430,0.0005092947743833065,-0.041141872582375075,,
,,,500000,,,0.0003,7.957249732501805,0.2,0.46645820140838623,8.194025993347168,0.00013902191,0.013916015625,2440,-0.0008790611747826916,-0.04535405672068009,6809.8,1217.36
841,596,694.09,501760,245,101.483,,,,,,,,,,,,
844,596,682.3,503808,246,99.21500000000002,0.0003,7.18637636937201,0.2,0.4327622652053833,4.346350193023682,0.0017448468,0.017529296875,2450,-0.0007175048973294907,-0.03589544231799664,,
846,597,622.34,505856,247,88.566,0.0003,7.757207919284701,0.2,0.19924819469451904,5.8879289627075195,0.0042969966,0.02802734375,2460,-0.0040656435317941945,-0.045300078118452804,,
849,597,590.41,507904,248,82.601,0.0003,12.130922434478999,0.2,0.14309513568878174,4.6104536056518555,0.0052814283,0.032177734375,2470,-0.0044245501019759105,-0.058929275861009954,,
852,598,588.34,509952,249,82.19599999999998,0.0003,11.048710618913173,0.2,0.32286447286605835,5.61238956451416,0.00082819595,0.0115234375,2480,-0.0011881796905072405,-0.043774854895309544,,
,,,510000,,,0.0003,9.731963350996375,0.2,0.46466147899627686,8.610989570617676,0.0014056701,0.0259765625,2490,-0.0010204475300270132,-0.035328725913132075,1138.6,182.95999999999998
858,596,574.45,512000,250,79.52000000000001,,,,,,,,,,,,
860,597,551.33,514048,251,75.22800000000001,0.0003,9.971921177208424,0.2,0.36886709928512573,11.652085304260254,0.009018364,0.0318359375,2500,0.0006384078122209757,-0.05349450269713998,,
863,597,568.36,516096,252,78.31700000000001,0.0003,9.704458462446928,0.2,0.391968309879303,4.047556400299072,0.0046188347,0.023291015625,2510,0.0012366513939923607,-0.045953855174593626,,
866,598,579.4,518144,253,80.31200000000001,0.0003,3.939528494235128,0.2,0.4875027537345886,2.445845365524292,0.0025318977,0.02275390625,2520,0.0032489659046404996,-0.035976450683665465,,
,,,520000,,,0.0003,5.423504611384123,0.2,0.5145001411437988,1.0752472877502441,0.021152172,0.02685546875,2530,0.0024696347391000018,-0.03745177196942677,431.6,54.839999999999996
870,597,577.54,520192,254,79.92800000000001,,,,,,,,,,,,
872,598,549.11,522240,255,75.006,0.0003,8.91344461813569,0.2,0.38741177320480347,3.389024496078491,0.0028912653,0.020068359375,2540,-0.0014709176888572984,-0.046139674086589366,,
875,598,514.68,524288,256,68.791,0.0003,11.005829442292452,0.2,0.08160310983657837,5.334031105041504,0.004349347,0.037451171875,2550,-0.00206158290093299,-0.05544584370800294,,
878,599,513.26,526336,257,68.55,0.0003,10.952596674859524,0.2,0.4277423024177551,14.09605884552002,0.002346848,0.021728515625,2560,-0.0031314681502408346,-0.04466183470067335,,
881,599,509.14,528384,258,68.138,0.0003,6.2560769487172365,0.2,0.35697025060653687,5.439356803894043,0.003499627,0.01767578125,2570,0.0007934405759442598,-0.041448385652620344,,
,,,530000,,,0.0003,7.165954907983542,0.2,0.6209510564804077,4.96481466293335,0.004670834,0.033056640625,2580,-0.0021016718790633606,-0.05459884378797142,705.0,103.96
885,598,507.68,530432,259,67.89299999999999,,,,,,,,,,,,
888,599,501.69,532480,260,66.79899999999999,0.0003,7.080980986729264,0.2,0.5991685390472412,3.777076482772827,0.007566872,0.02822265625,2590,-0.003322684665909037,-0.05086738626123406,,
891,599,522.49,534528,261,70.56199999999998,0.0003,4.096314854454249,0.2,0.42883890867233276,0.5776153206825256,0.0006816825,0.0203125,2600,0.0020712919504148886,-0.04436813172069378,,
894,600,538.86,536576,262,73.68399999999998,0.0003,4.013828775659204,0.2,0.6354330778121948,0.35722586512565613,0.003704735,0.028271484375,2610,0.001564323688216973,-0.04537634435255313,,
896,600,538.86,538624,263,73.68399999999998,0.0003,4.772305193170905,0.2,0.6590138673782349,0.7225837707519531,0.0005178522,0.021142578125,2620,-9.603867656551301e-05,-0.053004213275562505,,
,,,540000,,,0.0003,0.6397619029274211,0.2,0.761536717414856,0.10353707522153854,0.0008202024,0.0193359375,2630,0.002792529299040325,-0.04340312143904157,10179.0,1831.4800000000002
926,583,566.78,540672,264,78.85199999999999,,,,,,,,,,,,
