time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/loss,train/approx_kl,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
695,11,-9.5696,22528,95.34,32,0.3378150463104248,1.1721502542495728,0.007922294,2.5020239105448128,0.0003,0.2,0.0515625,100,-0.0097824653115822,-1.0151014007627963,,
698,12,-9.6611,24576,106.79,35,0.28714704513549805,1.7078020572662354,0.008965887,3.62405822314322,0.0003,0.2,0.055810546875,110,-0.007880574028240517,-1.0100885331630707,,
697,13,-9.4508,26624,117.89,38,0.13306480646133423,1.0179110765457153,0.009415753,2.104393780976534,0.0003,0.2,0.12998046875,120,-0.013662830261455382,-1.0048196423798799,,
696,14,-9.441,28672,126.92,41,0.2656964063644409,1.0087778568267822,0.009275511,2.5393415581434966,0.0003,0.2,0.113232421875,130,-0.014023062607157044,-0.9358979756012559,,
,,,30000,,,0.41519618034362793,0.7304072976112366,0.010007312,2.4462172707542775,0.0003,0.2,0.102099609375,140,-0.011534888987080194,-0.908727952837944,321.2,-11.2
685,15,-9.4065,30720,143.99,44,,,,,,,,,,,,
686,16,-9.0026,32768,158.75,47,0.18482768535614014,1.2488206624984741,0.012627357,2.1661719758063556,0.0003,0.2,0.14765625,150,-0.011942604370415211,-0.854725350253284,,
687,17,-8.7863,34816,172.05,50,0.28313565254211426,0.9055688977241516,0.008767823,2.7777072079479694,0.0003,0.2,0.047802734375,160,-0.004096380528062582,-0.8608082301914692,,
686,18,-8.644499999999999,36864,181.89,53,0.20384955406188965,1.2202962636947632,0.0053701997,2.3183857571333646,0.0003,0.2,0.07294921875,170,-0.008042278719949536,-0.8411766083911061,,
688,19,-8.2854,38912,202.73,56,-0.013583898544311523,1.035536766052246,0.009147966,2.5575463931076228,0.0003,0.2,0.1146484375,180,-0.0066196136656799355,-0.8520560102537275,,
,,,40000,,,0.2263008952140808,1.8636019229888916,0.004280923,2.677346230298281,0.0003,0.2,0.053271484375,190,-0.005282099651230965,-0.823354746773839,301.0,-12.719999999999999
677,20,-7.898300000000001,40960,216.57,60,,,,,,,,,,,,
676,21,-7.966299999999999,43008,233.78,63,0.3500514626502991,1.9555301666259766,0.005785653,2.291357414238155,0.0003,0.2,0.06044921875,200,-0.005158590713108424,-0.8190946528688073,,
676,22,-7.9239,45056,247.15,66,0.2584933638572693,1.7379372119903564,0.008005841,2.165059555508196,0.0003,0.2,0.0703125,210,-0.006215025994606549,-0.8775565879419446,,
677,23,-7.882000000000001,47104,259.07,69,0.2574349045753479,1.1419252157211304,0.006661199,2.73327850010246,0.0003,0.2,0.07041015625,220,-0.00750492000952363,-0.8871399737894535,,
677,24,-8.4011,49152,269.84,72,-0.11987900733947754,0.3584156036376953,0.012080532,2.3283179767429827,0.0003,0.2,0.13505859375,230,-0.012082121841376647,-0.8709918892011046,,
,,,50000,,,0.04153752326965332,1.008320927619934,0.009692788,2.099673310853541,0.0003,0.2,0.11474609375,240,-0.01045488274830859,-0.8587050760164857,323.0,-11.238
670,25,-8.613299999999999,51200,275.24,76,,,,,,,,,,,,
671,26,-8.6852,53248,283.53,79,-0.012683987617492676,1.241974949836731,0.0086174365,1.9142578979022802,0.0003,0.2,0.10693359375,250,-0.005885615933220833,-0.8600521598011255,,
671,27,-8.457500000000001,55296,294.49,82,-0.04784083366394043,1.384488821029663,0.008904172,2.5411712994799016,0.0003,0.2,0.133984375,260,-0.011902844620635733,-0.8573067845776677,,
672,28,-8.4633,57344,307.48,85,0.06855690479278564,1.2891138792037964,0.008945096,3.086534953210503,0.0003,0.2,0.10703125,270,-0.008213863155106083,-0.8451841820031405,,
672,29,-8.560799999999999,59392,320.13,88,-0.03789687156677246,0.828963577747345,0.008597707,2.25078002596274,0.0003,0.2,0.0779296875,280,-0.006104859770857729,-0.8876823626458645,,
,,,60000,,,0.1203763484954834,1.269395112991333,0.0074454504,2.286041325284168,0.0003,0.2,0.087939453125,290,-0.007839547870389652,-0.8533826572820544,301.0,-13.0
667,30,-8.076500000000001,61440,319.04,92,,,,,,,,,,,,
667,31,-7.937199999999999,63488,317.82,95,0.06652390956878662,1.4293341636657715,0.010156764,3.389368669502437,0.0003,0.2,0.114501953125,300,-0.007784090100903996,-0.8640581585466862,,
