rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/learning_rate,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
105.0998,576,423.34,1193,688128,336,0.0003,0.21416378021240234,0.2,3350,20.895523071289062,0.0063174814,0.063525390625,-0.007706086797406897,-0.6543110929429531,35.85239028930664,,
,,,,690000,,0.0003,0.16268259286880493,0.2,3360,16.53329849243164,0.0052133687,0.063525390625,-0.008325496542238398,-0.6313909834250808,34.05223472714424,1684.4,108.63600000000001
101.54999999999998,574,415.46,1201,690176,337,,,,,,,,,,,,
101.26319999999998,574,414.77,1204,692224,338,0.0003,0.2601713538169861,0.2,3370,11.064334869384766,0.0052509205,0.061572265625,-0.006483695155475288,-0.6800216875970364,34.04190659224987,,
102.78300000000002,575,423.95,1207,694272,339,0.0003,0.3111385703086853,0.2,3380,10.507440567016602,0.005456676,0.066552734375,-0.006489854538813233,-0.6904614156112074,29.343859121203423,,
99.68500000000002,575,413.52,1210,696320,340,0.0003,0.32248204946517944,0.2,3390,9.639606475830078,0.011302343,0.12041015625,-0.013572152063716203,-0.7622196903452277,25.587775376439094,,
101.96900000000001,575,429.58,1213,698368,341,0.0003,0.23648369312286377,0.2,3400,25.848695755004883,0.006094872,0.08037109375,-0.005999931821133941,-0.7360223319381476,32.630035030841825,,
,,,,700000,,0.0003,0.3038618564605713,0.2,3410,8.564152717590332,0.0071886983,0.0755859375,-0.005796507964259945,-0.6840058587491512,26.54278059899807,1177.2,297.136
97.44760000000001,574,415.17,1219,700416,342,,,,,,,,,,,,
102.8336,574,431.44,1222,702464,343,0.0003,0.3438693881034851,0.2,3420,12.449869155883789,0.0068943864,0.082421875,-0.007329692074563354,-0.7217425702139735,31.931941363215447,,
105.15519999999998,574,435.6,1225,704512,344,0.0003,0.3118240237236023,0.2,3430,17.36310386657715,0.008456245,0.109765625,-0.007023459777701646,-0.6706096762791276,26.50237942636013,,
111.3334,575,452.34,1228,706560,345,0.0003,0.3063018321990967,0.2,3440,19.01618766784668,0.0071431533,0.080517578125,-0.009072300276602618,-0.6804061936214566,29.18012892603874,,
106.5714,575,429.92,1231,708608,346,0.0003,0.2861129641532898,0.2,3450,8.823139190673828,0.0067059537,0.08583984375,-0.010501795809250324,-0.6683666760101914,34.14003202021122,,
,,,,710000,,0.0003,0.29147768020629883,0.2,3460,12.944841384887695,0.0054829717,0.0498046875,-0.00730103294190485,-0.663173027522862,46.41020703315735,1233.2,173.772
104.69200000000002,574,413.67,1237,710656,347,,,,,,,,,,,,
103.56840000000003,574,409.73,1240,712704,348,0.0003,0.21479976177215576,0.2,3470,41.14643478393555,0.0069242883,0.095458984375,-0.011274728560238145,-0.6600989753380417,46.57804100513458,,
108.21760000000002,574,422.76,1243,714752,349,0.0003,0.2206537127494812,0.2,3480,17.2215633392334,0.0068717403,0.063671875,-0.008428704462130555,-0.6716215904802084,41.5139662027359,,
111.0358,574,432.15,1246,716800,350,0.0003,0.27828967571258545,0.2,3490,17.51418113708496,0.00636983,0.076904296875,-0.009728605466079898,-0.6513660363852978,30.867333883047102,,
113.2044,575,438.95,1249,718848,351,0.0003,0.17555570602416992,0.2,3500,12.068153381347656,0.010605715,0.10498046875,-0.009532292507356033,-0.6951943615451455,28.19239842891693,,
,,,,720000,,0.0003,0.26501286029815674,0.2,3510,26.687936782836914,0.0068240105,0.078271484375,-0.007709119949140586,-0.6484236599877476,34.422290325164795,951.4,429.908
117.76160000000002,574,451.57,1255,720896,352,,,,,,,,,,,,
123.3466,574,467.91,1258,722944,353,0.0003,0.3220922350883484,0.2,3520,15.093059539794922,0.0060562408,0.062255859375,-0.006778991867031436,-0.6559576265513897,33.9651077747345,,
120.77600000000002,574,456.16,1261,724992,354,0.0003,0.3506062626838684,0.2,3530,11.393052101135254,0.0071437582,0.076171875,-0.007714154488348867,-0.6203413072042168,22.76983525753021,,
123.98099999999998,575,466.25,1264,727040,355,0.0003,0.22516244649887085,0.2,3540,19.043916702270508,0.007413544,0.092822265625,-0.008270953479222954,-0.6753277659416199,34.01398720145225,,
127.00319999999998,575,470.45,1267,729088,356,0.0003,0.31583553552627563,0.2,3550,11.018471717834473,0.00606305,0.074560546875,-0.006224830984137952,-0.6407944964244962,23.726288226246833,,
,,,,730000,,0.0003,0.23354876041412354,0.2,3560,14.846296310424805,0.009774984,0.09228515625,-0.009106416378926951,-0.6584006095305085,30.925356698036193,618.8,258.204
129.7688,574,477.46,1271,731136,357,,,,,,,,,,,,
130.13019999999997,575,474.42,1274,733184,358,0.0003,0.2897913455963135,0.2,3570,19.242666244506836,0.007196636,0.11103515625,-0.01324831525562331,-0.6516284514218569,34.61253844201565,,
129.9672,575,477.56,1277,735232,359,0.0003,0.21136391162872314,0.2,3580,15.393855094909668,0.006804799,0.075537109375,-0.008710285351844505,-0.6657323461025954,39.76402795314789,,
128.5144,575,475.05,1280,737280,360,0.0003,0.3450990915298462,0.2,3590,17.575008392333984,0.0076252017,0.1,-0.008359062930685468,-0.643042747117579,25.632580998539925,,
128.55360000000002,575,483.11,1283,739328,361,0.0003,0.24158918857574463,0.2,3600,16.754474639892578,0.009138465,0.077099609375,-0.010259767944808118,-0.7280393740162253,38.5728904902935,,
,,,,740000,,0.0003,0.2595590353012085,0.2,3610,10.546649932861328,0.0072292597,0.080859375,-0.007394092585309408,-0.6800169656053185,24.643839246034624,1603.6,64.16
127.12359999999997,573,474.45,1291,741376,362,,,,,,,,,,,,
129.06159999999997,574,482.76,1294,743424,363,0.0003,0.24447780847549438,0.2,3620,11.718050003051758,0.009782901,0.08720703125,-0.011418357962975278,-0.6909298162907362,25.5870452105999,,
134.39919999999998,574,501.45,1297,745472,364,0.0003,0.3310813903808594,0.2,3630,11.024019241333008,0.007696514,0.06474609375,-0.006457979607512243,-0.7144236527383327,26.505462227761747,,
135.6856,574,502.26,1300,747520,365,0.0003,0.3555896282196045,0.2,3640,9.642719268798828,0.0049953647,0.05830078125,-0.006940350896911696,-0.6348039643839002,25.960192838311194,,
