time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/clip_range,train/loss,train/value_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
192,532,102400,-2.0524000000000004,50,397.41,0.2,1.0119211673736572,1.7845602560788394,0.0003,0.20205078125,490,0.018168619,0.3614014983177185,-1.6498165380209684,-0.013333582879567984,,
192,542,104448,-2.1967000000000003,51,401.83,0.2,0.07179389894008636,1.3468791015446187,0.0003,0.20810546875,500,0.024636662,0.5090900659561157,-1.5355114199221134,-0.012463319330709054,,
192,553,106496,-1.7699,52,409.18,0.2,0.20343749225139618,1.6407733029685914,0.0003,0.18681640625,510,0.02097647,0.6290990114212036,-1.5363547414541245,-0.011128430817916524,,
192,563,108544,-1.6538000000000002,53,417.57,0.2,0.2323652058839798,0.8199607450049371,0.0003,0.253369140625,520,0.026498495,0.6623188257217407,-1.573118257150054,-0.020301539544016124,,
,,110000,,,,0.2,0.18555209040641785,1.2638105749152602,0.0003,0.188232421875,530,0.017245272,0.5610591173171997,-1.4265927638858558,-0.00663598081737291,402.0,6.010000000000001
190,579,110592,-1.7988,54,412.05,,,,,,,,,,,,
190,589,112640,-1.8746,55,419.63,0.2,0.5190021991729736,1.6590286267455667,0.0003,0.182958984375,540,0.018855806,0.13414359092712402,-1.5762430418282747,-0.014366424664331134,,
191,599,114688,-2.6348999999999996,56,415.58,0.2,1.9363864660263062,1.5709376474376768,0.0003,0.219287109375,550,0.02588692,0.3083282709121704,-1.3469165079295635,-0.019619458966189995,,
191,609,116736,-2.5228999999999995,57,424.4,0.2,0.3015718460083008,1.1126975749153645,0.0003,0.19765625,560,0.025075287,0.5660160779953003,-1.3663189493119716,-0.013101623303373344,,
191,620,118784,-2.3449999999999998,58,426.63,0.2,1.746668815612793,1.5934782025637104,0.0003,0.18740234375,570,0.0186187,0.24754637479782104,-1.4396074008196593,-0.014752042175678071,,
,,120000,,,,0.2,0.6695573329925537,1.398030504770577,0.0003,0.20283203125,580,0.01724821,0.43782132863998413,-1.395363062620163,-0.009968646903871559,246.8,-12.458
190,635,120832,-2.2836,59,430.5,,,,,,,,,,,,
190,645,122880,-2.0605,60,428.21,0.2,0.14376626908779144,0.6260394414886832,0.0003,0.237158203125,590,0.026781213,0.42938750982284546,-1.3553081896156072,-0.014669008238706737,,
190,656,124928,-1.7848000000000004,61,430.67,0.2,0.7267836928367615,1.450585890142247,0.0003,0.149755859375,600,0.016648589,0.5309150218963623,-1.3732452020049095,-0.00844058731017867,,
190,667,126976,-1.4814000000000007,62,440.37,0.2,0.2852535843849182,1.546251113153994,0.0003,0.18251953125,610,0.01935572,0.5699613094329834,-1.4536271777004004,-0.01711247238854412,,
190,677,129024,-1.5181,63,434.03,0.2,0.5405731201171875,2.6127772328443823,0.0003,0.170361328125,620,0.019616123,0.3283733129501343,-1.5586053576320409,-0.010615079215494917,,
,,130000,,,,0.2,0.4690026640892029,1.6968988854438067,0.0003,0.190283203125,630,0.022515818,0.2703644037246704,-1.5119739331305027,-0.013482149905757978,548.8,0.5379999999999999
186,703,131072,-1.5327000000000002,64,435.49,,,,,,,,,,,,
186,715,133120,-1.1903000000000004,65,441.29,0.2,0.3193569481372833,1.4283327345037833,0.0003,0.1837890625,640,0.021247411,0.44655436277389526,-1.5404828011989593,-0.011230635328684003,,
186,726,135168,-0.9600000000000003,66,448.27,0.2,0.6545551419258118,2.173262808378786,0.0003,0.15146484375,650,0.015745338,0.433879554271698,-1.441174890846014,-0.009439199537155218,,
185,737,137216,-1.1385,67,446.1,0.2,0.22497692704200745,1.6958605098770931,0.0003,0.197802734375,660,0.022686217,0.06176275014877319,-1.4536555908620357,-0.013450035927235149,,
185,748,139264,-0.4196000000000001,68,454.27,0.2,0.5322324633598328,1.1488145775627345,0.0003,0.216552734375,670,0.024551244,0.6041027903556824,-1.5385906856507063,-0.015096070771687665,,
,,140000,,,,0.2,0.2988516390323639,1.7969335466623306,0.0003,0.133154296875,680,0.016353656,0.11093175411224365,-1.4398148436099292,-0.010242069345258642,355.8,-5.540000000000001
183,768,141312,-0.5218,69,454.48,,,,,,,,,,,,
183,779,143360,-0.022600000000000068,70,454.61,0.2,0.19319134950637817,0.7099152599228546,0.0003,0.20341796875,690,0.014827652,0.7821579575538635,-1.5191278651356697,-0.012965145410271361,,
183,790,145408,-0.29460000000000003,71,451.8,0.2,0.05239401385188103,1.5299557426013053,0.0003,0.136572265625,700,0.01673301,0.5272619724273682,-1.473028464615345,-0.00915634142293129,,
183,802,147456,-0.6016,72,432.45,0.2,0.11573316901922226,1.5374172984156758,0.0003,0.137451171875,710,0.015298525,0.3530780076980591,-1.3885289672762156,-0.005566770293808076,,
183,813,149504,-0.015700000000000172,73,443.93,0.2,0.38321858644485474,1.3027268540579826,0.0003,0.214306640625,720,0.029299226,0.3806810975074768,-1.4658016487956047,-0.009840105698094704,,
,,150000,,,,0.2,0.029888179153203964,0.52230371797923,0.0003,0.20732421875,730,0.018183107,0.767254114151001,-1.4687585197389126,-0.010560020893171896,222.4,-6.208
183,826,151552,-0.4550000000000001,74,427.84,,,,,,,,,,,,
183,837,153600,-0.18470000000000028,75,430.84,0.2,0.20462006330490112,2.0060772569384424,0.0003,0.1724609375,740,0.018569808,0.12031269073486328,-1.553039376437664,-0.011950322324992158,,
183,849,155648,-0.285,76,420.85,0.2,0.24297049641609192,1.5640598301775754,0.0003,0.156005859375,750,0.015605057,-0.19542360305786133,-1.4683506410568952,-0.009883061863365582,,
183,859,157696,-0.2695000000000001,77,419.3,0.2,0.11770049482584,0.9782923706108704,0.0003,0.19658203125,760,0.017776124,-0.04682564735412598,-1.5247434370219708,-0.012805719362222589,,
183,870,159744,-0.25669999999999993,78,418.02,0.2,0.2709035873413086,1.295388858835213,0.0003,0.21416015625,770,0.018748349,-0.06672656536102295,-1.5954480890184641,-0.01363891200744547,,
