rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
164.518,586,1212416,2067,776.78,592,5910,0.0027401224,-0.08532349038869143,0.2,0.026318359375,-0.0003861171251628548,0.28250908851623535,20.17667873799801,0.0003,17.071046829223633,,
159.92699999999996,586,1214464,2070,797.28,593,5920,0.15350002,-0.1265432928572409,0.2,0.120849609375,-0.011282345079234802,-0.10403883457183838,0.583445590257179,0.0003,0.09177616238594055,,
158.678,586,1216512,2073,776.15,594,5930,0.0029571252,-0.1404438577592373,0.2,0.03232421875,-0.004594913474284113,0.1792547106742859,30.29004798233509,0.0003,9.766018867492676,,
161.35700000000003,586,1218560,2076,780.07,595,5940,0.002603759,-0.13040116124320775,0.2,0.02431640625,-0.002978682384127751,0.27716064453125,25.911330172419547,0.0003,6.792112350463867,,
,,1220000,,,,5950,0.001547911,-0.13466486879624426,0.2,0.01328125,-0.0021729068394051865,0.1923527717590332,25.807454687356948,0.0003,6.425804615020752,772.6,58.019999999999996
157.81699999999998,586,1220608,2081,759.69,596,,,,,,,,,,,,
156.563,586,1222656,2084,709.6,597,5960,0.003866309,-0.14779335663188248,0.2,0.025146484375,-0.0027614956961770076,0.3049657940864563,19.669666507840155,0.0003,11.040448188781738,,
147.81899999999996,586,1224704,2087,656.66,598,5970,0.0018921928,-0.10855829181382433,0.2,0.01708984375,-0.0020510927657596766,0.32176339626312256,18.054208186268806,0.0003,10.001335144042969,,
148.24099999999996,586,1226752,2090,668.84,599,5980,0.0025609885,-0.1392458934802562,0.2,0.03046875,-0.0027548453828785567,0.2599756717681885,29.524677616357803,0.0003,18.32240104675293,,
146.363,587,1228800,2093,668.12,600,5990,0.0017774258,-0.13513378973584622,0.2,0.01875,-0.0019209709178539924,0.15854394435882568,23.17163813710213,0.0003,6.931905269622803,,
,,1230000,,,,6000,0.0031484729,-0.13290417774114757,0.2,0.035107421875,-0.0014797161420574412,0.285855770111084,22.6701272636652,0.0003,7.082221031188965,390.2,67.9
143.03,586,1230848,2097,658.1,601,,,,,,,,,,,,
140.503,586,1232896,2100,628.11,602,6010,0.0035982048,-0.12745159504702314,0.2,0.037158203125,-0.0036129746527876704,0.2643769383430481,31.80972028672695,0.0003,20.168859481811523,,
143.222,587,1234944,2103,623.84,603,6020,0.0027079869,-0.12012456546071917,0.2,0.021044921875,-0.001336321042617783,0.2681170105934143,26.961523976922035,0.0003,9.349286079406738,,
135.15200000000002,587,1236992,2106,604.18,604,6030,0.0026447875,-0.11696199937723577,0.2,0.02958984375,-0.0007327289335080422,0.4089977741241455,18.21356807947159,0.0003,7.229483604431152,,
137.00900000000001,587,1239040,2109,616.84,605,6040,0.0023173215,-0.11044180248863995,0.2,0.0255859375,-0.001597103821404744,0.33957409858703613,21.309701499342918,0.0003,9.61072826385498,,
,,1240000,,,,6050,0.0058974004,-0.11690562593867071,0.2,0.03427734375,-0.001673728454625234,0.38033729791641235,18.216271121799945,0.0003,9.551531791687012,1015.2,226.98000000000002
132.984,586,1241088,2115,602.11,606,,,,,,,,,,,,
134.08700000000002,586,1243136,2118,605.42,607,6060,0.0026162127,-0.12272125924937427,0.2,0.022998046875,-0.0014188418819685467,0.38886576890945435,26.767487850785255,0.0003,10.858880043029785,,
140.484,587,1245184,2121,625.93,608,6070,0.0050120805,-0.10126423344481736,0.2,0.0380859375,-0.001900375244440511,0.44233399629592896,17.907450738549233,0.0003,6.794994354248047,,
137.508,587,1247232,2124,622.3,609,6080,0.0052577425,-0.10682573842350393,0.2,0.0345703125,-0.0013766799442237244,0.29980963468551636,16.637115654349326,0.0003,7.182633876800537,,
138.55900000000003,587,1249280,2127,612.95,610,6090,0.0042065186,-0.11432937841163948,0.2,0.035791015625,0.0004418119991896674,0.32478833198547363,19.06164258122444,0.0003,9.151422500610352,,
,,1250000,,,,6100,0.0025504422,-0.1028098564594984,0.2,0.026708984375,-0.0010187088482780382,0.2719302177429199,22.80976915359497,0.0003,15.686137199401855,524.0,140.14000000000001
129.11500000000004,587,1251328,2131,570.15,611,,,,,,,,,,,,
134.881,587,1253376,2134,583.75,612,6110,0.00406703,-0.11847637247992679,0.2,0.04033203125,-0.0017151113570434973,0.27492767572402954,26.117606595158577,0.0003,19.582677841186523,,
137.484,587,1255424,2137,590.48,613,6120,0.0042819777,-0.10251868142513558,0.2,0.02998046875,-0.002036978941760026,0.25077229738235474,16.64506450891495,0.0003,10.190000534057617,,
140.15,587,1257472,2140,597.88,614,6130,0.0052067367,-0.11533046521944926,0.2,0.033544921875,-0.000582644814858213,0.3387680649757385,18.128774701058866,0.0003,7.1431355476379395,,
142.78799999999998,587,1259520,2143,600.04,615,6140,0.0061531076,-0.10532330481801182,0.2,0.0423828125,-0.003148353825963568,0.19507938623428345,25.673096317052842,0.0003,12.375723838806152,,
,,1260000,,,,6150,0.0033244179,-0.1152414018055424,0.2,0.027099609375,-0.0014827093313215301,0.21646392345428467,25.98035652935505,0.0003,10.622809410095215,842.6,224.21999999999997
141.27100000000002,587,1261568,2149,597.83,616,,,,,,,,,,,,
137.895,587,1263616,2152,584.86,617,6160,0.0024398896,-0.10990480139153078,0.2,0.03056640625,0.0004791596351424232,0.3748534917831421,15.593040741980076,0.0003,6.698129653930664,,
142.684,587,1265664,2155,593.66,618,6170,0.003403077,-0.10095666648121551,0.2,0.030859375,-0.0027929488860536367,0.33472615480422974,25.132857957482337,0.0003,8.378775596618652,,
143.796,587,1267712,2158,601.2,619,6180,0.0049959915,-0.08742292472161353,0.2,0.02890625,-0.0023205987017718144,0.34739065170288086,19.916473349928857,0.0003,5.6118998527526855,,
143.796,587,1269760,2161,601.2,620,6190,0.004725623,-0.09490319014294073,0.2,0.031787109375,-0.00129747928440338,0.42119520902633667,14.345119521021843,0.0003,7.807316303253174,,
,,1270000,,,,6200,0.0043914807,-0.08916716277599335,0.2,0.03935546875,-0.0015168597514275462,0.4586375951766968,6.346746873110533,0.0003,3.806183099746704,915.2,160.72
146.588,586,1271808,2166,647.25,621,,,,,,,,,,,,
146.696,587,1273856,2169,650.82,622,6210,0.0035392893,-0.09231884251348674,0.2,0.0294921875,-0.00011712610139511526,0.46450042724609375,14.027514284849167,0.0003,6.1525678634643555,,
