rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/value_loss,train/loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
186.74,746,356,-10.0,130,266240,0.0010156553301385429,0.012270310893654823,0.999821126461029,0.0028067953,1290,0.0003,-0.20776970996521413,0.026953125,0.2,-0.0009034966176841408,,
186.67,746,359,-10.0,131,268288,0.0023249281018252075,0.0030118869617581367,0.9995685815811157,0.012208406,1300,0.0003,-0.20243396318983287,0.04033203125,0.2,-0.001574387181608472,,
,,,,,270000,0.0020362059464787306,-0.009574709460139275,0.9996554851531982,0.0014590126,1310,0.0003,-0.15461622001603245,0.021728515625,0.2,-0.001843343919608742,-10.0,187.0
186.67,745,362,-10.0,132,270336,,,,,,,,,,,,
186.69,745,365,-10.0,133,272384,0.0007628728221789061,0.02098866179585457,0.9998291730880737,0.0012470798,1320,0.0003,-0.15350547509733586,0.013232421875,0.2,-0.000594258627097588,,
186.73,746,367,-10.0,134,274432,0.0005766133594079292,-0.0019910139963030815,0.9998805522918701,0.0010278849,1330,0.0003,-0.16921079368330538,0.02216796875,0.2,0.00039800989907234907,,
186.77,746,370,-10.0,135,276480,0.0004785156206480679,-0.002364940010011196,0.9999114274978638,0.0019375319,1340,0.0003,-0.18444054427091033,0.022705078125,0.2,0.00014765392552362755,,
186.81,746,372,-10.0,136,278528,0.00048449721300585223,-0.004795101936906576,0.999910295009613,0.0006120665,1350,0.0003,-0.1798586879624054,0.014501953125,0.2,0.0002926398723502643,,
,,,,,280000,0.000450033166907815,-0.004921062383800745,0.9999176859855652,0.0012274832,1360,0.0003,-0.15777681362815202,0.014306640625,0.2,0.0006209462517290376,-10.0,187.0
186.81,746,376,-10.0,137,280576,,,,,,,,,,,,
186.85,746,378,-10.0,138,282624,0.0004416393025621801,0.0017748367972671986,0.9999232292175293,0.0009174149,1370,0.0003,-0.17036819076165557,0.010400390625,0.2,0.0003547216794686392,,
186.93,746,381,-10.0,139,284672,0.0003916561812729924,-0.022892050445079803,0.9999356865882874,0.006960194,1380,0.0003,-0.2235143667086959,0.041357421875,0.2,-0.0012294460102566518,,
187.0,746,383,-10.0,140,286720,0.00037837615720945903,-0.0037917965091764927,0.9999331831932068,0.000762254,1390,0.0003,-0.20143364518880844,0.0271484375,0.2,0.00024298461503349244,,
187.0,746,386,-10.0,141,288768,0.0003594091686409229,0.005892964079976082,0.9999387264251709,0.0011650976,1400,0.0003,-0.20017860308289528,0.021484375,0.2,-4.393457347759977e-05,,
,,,,,290000,0.0003747532833699552,-0.00255947676487267,0.9999396800994873,0.0009996998,1410,0.0003,-0.2148814325220883,0.011669921875,0.2,-8.207560167647899e-05,-10.0,187.0
186.63,746,389,-10.0,142,290816,,,,,,,,,,,,
186.56,746,392,-10.0,143,292864,0.01627479621383827,0.024259645491838455,0.9964184761047363,0.0008008812,1420,0.0003,-0.1608482049079612,0.00966796875,0.2,-0.0015429456456331537,,
186.37,746,395,-10.0,144,294912,0.00242508503542922,0.0029641527216881514,0.9995304942131042,0.0026426776,1430,0.0003,-0.18604620266705751,0.029443359375,0.2,-0.0031692468459368684,,
186.37,746,397,-10.0,145,296960,0.008911468533005973,-0.0021080675069242716,0.9984380006790161,0.0019444246,1440,0.0003,-0.15925774222705513,0.028857421875,0.2,-0.0022193362878169865,,
186.37,746,400,-10.0,146,299008,0.0009909457450703485,-0.005570658016949892,0.9996218681335449,0.001850622,1450,0.0003,-0.14311315512750297,0.024560546875,0.2,-0.0026626235980074854,,
,,,,,300000,0.0007564327131149185,-0.01015589851886034,0.9997889995574951,0.0017490725,1460,0.0003,-0.1556619246955961,0.023876953125,0.2,-0.001927712377801072,-10.0,187.0
186.37,746,403,-10.0,147,301056,,,,,,,,,,,,
186.37,746,406,-10.0,148,303104,0.0005902017611333577,-0.004361686762422323,0.9998395442962646,0.0027212964,1470,0.0003,-0.14374671487603335,0.039990234375,0.2,-0.0015438757327501662,,
186.37,746,408,-10.0,149,305152,0.000444855973819358,-0.006970463320612907,0.9998981356620789,0.002942141,1480,0.0003,-0.19082974130287766,0.034375,0.2,0.001802695810329169,,
186.37,746,411,-10.0,150,307200,0.00041148119330500774,0.010084428824484348,0.9999271631240845,0.0005923518,1490,0.0003,-0.18501809192821383,0.022705078125,0.2,-0.00015340665413532406,,
186.74,747,413,-10.0,151,309248,0.00039750638777604765,-0.003070822451263666,0.9999302625656128,0.0018036319,1500,0.0003,-0.14238485179375857,0.02763671875,0.2,-0.001969300620839931,,
,,,,,310000,0.00040935822412393465,0.039173778146505356,0.9999334812164307,0.0009775737,1510,0.0003,-0.18201759706716986,0.01748046875,0.2,0.0007306542567675934,-10.0,187.0
186.81,746,416,-10.0,152,311296,,,,,,,,,,,,
186.71,746,419,-10.0,153,313344,0.00036397387923443604,-0.006790011189877987,0.9999385476112366,0.0013334642,1520,0.0003,-0.21233310783281922,0.037744140625,0.2,-0.001035991997923702,,
186.88,746,422,-10.0,154,315392,0.004652420397496826,0.0008765232050791383,0.9990491271018982,0.00076333166,1530,0.0003,-0.19697775975801052,0.01904296875,0.2,-0.00036805427953368053,,
